"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output dstat/05-24-2020-21-29-16.csv",,,,"Date:","24 May 2020 21:29:16 -03"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","12","18","56","1m","5m","15m","run","blk","new","used","free","time","epoch"
0.063,0.334,126.487,182.305,29.531,335.751,0.000,6.555,0.496,1.700,1.620,1.330,0,1,0.125,611319808,7974416384,24-05 21:29:16,1590366556.237
15,0,314,265,65536,0,0,34,1,1.720,1.630,1.330,0,0,0,611319808,7974416384,24-05 21:29:17,1590366557.238
2,2,178,246,65536,0,0,16,0,1.720,1.630,1.330,1,0,0,611057664,7974678528,24-05 21:29:18,1590366558.238
2,0,183,242,65536,0,0,19,1,1.720,1.630,1.330,0,0,1,611057664,7974678528,24-05 21:29:19,1590366559.238
3,4,207,257,98304,0,0,32,0,1.720,1.630,1.330,0,0,0,611057664,7974678528,24-05 21:29:20,1590366560.238
3,0,207,265,81920,0,0,25,1,1.720,1.630,1.330,0,0,1,610795520,7974940672,24-05 21:29:21,1590366561.238
4,2,219,274,139264,0,0,46,0,1.580,1.600,1.330,0,2,1,610795520,7974940672,24-05 21:29:22,1590366562.238
4,2,227,291,65536,0,0,42,1,1.580,1.600,1.330,1,0,1,610795520,7974940672,24-05 21:29:23,1590366563.238
2,0,212,249,65536,0,0,36,0,1.580,1.600,1.330,0,0,0,610533376,7975202816,24-05 21:29:24,1590366564.238
2,0,209,254,65536,0,0,34,1,1.580,1.600,1.330,0,0,2,610533376,7975202816,24-05 21:29:25,1590366565.238
2,0,240,290,65536,0,0,66,0,1.580,1.600,1.330,0,0,0,610533376,7975202816,24-05 21:29:26,1590366566.238
3,5,299,305,81920,0,0,102,1,1.450,1.580,1.320,0,0,0,610533376,7975202816,24-05 21:29:27,1590366567.238
2,5,326,320,65536,0,0,120,0,1.450,1.580,1.320,0,0,0,610271232,7975464960,24-05 21:29:28,1590366568.238
2,0,322,303,65536,0,0,128,1,1.450,1.580,1.320,0,0,0,610271232,7975464960,24-05 21:29:29,1590366569.238
2,2,334,275,65536,0,0,143,0,1.450,1.580,1.320,0,0,0,610271232,7975464960,24-05 21:29:30,1590366570.238
2,16,453,389,65536,0,0,178,1,1.450,1.580,1.320,0,0,2,610271232,7975464960,24-05 21:29:31,1590366571.238
2,0,395,465,65536,0,0,127,0,1.420,1.570,1.320,0,0,0,610009088,7975727104,24-05 21:29:32,1590366572.238
2,4,453,521,65536,0,0,150,1,1.420,1.570,1.320,0,0,0,610009088,7975727104,24-05 21:29:33,1590366573.238
4,0,482,550,98304,0,0,180,0,1.420,1.570,1.320,1,0,0,610009088,7975727104,24-05 21:29:34,1590366574.238
1,0,406,495,49152,0,0,137,1,1.420,1.570,1.320,0,1,0,610009088,7975727104,24-05 21:29:35,1590366575.238
2,0,402,469,32768,0,0,142,0,1.420,1.570,1.320,0,0,0,609746944,7975989248,24-05 21:29:36,1590366576.238
2,0,434,483,65536,0,0,167,1,1.300,1.540,1.310,0,0,0,609746944,7975989248,24-05 21:29:37,1590366577.238
2,4,456,503,65536,0,0,176,0,1.300,1.540,1.310,0,0,0,609746944,7975989248,24-05 21:29:38,1590366578.238
2,0,401,466,65536,0,0,138,1,1.300,1.540,1.310,0,0,0,609746944,7975989248,24-05 21:29:39,1590366579.238
2,0,398,472,65536,0,0,140,0,1.300,1.540,1.310,1,0,0,609484800,7976251392,24-05 21:29:40,1590366580.238
