"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output dstat/AWS_SRR11178050_05-26-2020-23-44-37.csv",,,,"Date:","26 May 2020 23:44:37 -03"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","12","18","56","1m","5m","15m","run","blk","new","used","free","time","epoch"
0.481,0.577,120.787,114.906,30.580,412.969,0.000,11.546,0.497,0,0,0,0,0,0.404,17039360,8568696832,26-05 23:44:37,1590547477.682
0,0,92,105,0,0,0,5,0,0.080,0.020,0.010,0,0,0,17039360,8568696832,26-05 23:44:38,1590547478.684
0,0,147,129,0,0,0,28,1,0.080,0.020,0.010,0,0,1,17039360,8568696832,26-05 23:44:39,1590547479.684
0,0,112,103,0,0,0,18,0,0.080,0.020,0.010,0,0,0,17039360,8568696832,26-05 23:44:40,1590547480.684
0,0,137,125,0,0,0,22,1,0.080,0.020,0.010,0,0,1,17039360,8568696832,26-05 23:44:41,1590547481.684
0,2,167,140,0,0,0,41,0,0.080,0.020,0.010,0,0,1,17039360,8568696832,26-05 23:44:42,1590547482.684
0,2,180,148,0,0,0,42,1,0.070,0.020,0,0,0,1,17039360,8568696832,26-05 23:44:43,1590547483.684
0,0,159,121,0,0,0,40,0,0.070,0.020,0,0,0,1,17039360,8568696832,26-05 23:44:44,1590547484.684
0,0,167,135,0,0,0,39,1,0.070,0.020,0,0,0,1,17039360,8568696832,26-05 23:44:45,1590547485.684
0,0,200,194,0,0,0,82,0,0.070,0.020,0,0,0,0,17039360,8568696832,26-05 23:44:46,1590547486.684
0,2,304,207,0,0,0,147,1,0.070,0.020,0,0,0,0,17039360,8568696832,26-05 23:44:47,1590547487.684
0,13,301,183,0,0,0,144,0,0.070,0.020,0,0,0,0,17039360,8568696832,26-05 23:44:48,1590547488.684
0,0,306,172,0,0,0,167,1,0.070,0.020,0,0,0,0,17039360,8568696832,26-05 23:44:49,1590547489.684
0,0,228,145,0,0,0,104,0,0.070,0.020,0,0,0,0,17039360,8568696832,26-05 23:44:50,1590547490.684
0,0,352,302,0,0,0,157,1,0.070,0.020,0,2,0,1,17039360,8568696832,26-05 23:44:51,1590547491.684
0,0,355,334,0,0,0,151,0,0.070,0.020,0,0,0,0,17039360,8568696832,26-05 23:44:52,1590547492.684
0,4,379,355,0,0,0,156,1,0.060,0.020,0,0,0,0,17039360,8568696832,26-05 23:44:53,1590547493.684
