"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-46-63",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output dstat/AWS_t2.medium_SRR11178050_05-28-2020-18-47-05.csv",,,,"Date:","28 May 2020 18:47:05 UTC"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","60","61","62","1m","5m","15m","run","blk","new","used","free","time","epoch"
6.655,63.721,662.928,538.568,0,0,0.057,34.059,119.465,0,0.120,0.190,0,0,7.714,0,0,28-05 18:47:05,1590691625.955
0,0,135,93,0,0,0,0,36,0,0.120,0.190,0,0,1,0,0,28-05 18:47:06,1590691626.956
0,0,214,119,0,0,0,0,103,0,0.120,0.190,0,0,1,0,0,28-05 18:47:07,1590691627.956
0,0,183,107,0,0,0,0,102,0,0.120,0.190,0,0,1,0,0,28-05 18:47:08,1590691628.956
0,16,220,108,0,0,0,7,116,0,0.120,0.190,0,0,1,0,0,28-05 18:47:09,1590691629.956
0,0,177,92,0,0,0,0,105,0,0.120,0.190,0,0,2,0,0,28-05 18:47:10,1590691630.956
0,0,565,223,0,0,0,0,345,0,0.120,0.190,0,0,0,0,0,28-05 18:47:11,1590691631.956
0,0,1054,439,0,0,0,0,616,0,0.120,0.190,0,0,0,0,0,28-05 18:47:12,1590691632.956
0,0,955,344,0,0,0,0,610,0,0.120,0.190,0,0,0,0,0,28-05 18:47:13,1590691633.956
0,0,1357,549,0,0,0,0,797,0,0.120,0.190,0,0,0,0,0,28-05 18:47:14,1590691634.956
0,0,1208,437,0,0,0,0,767,0,0.120,0.190,0,0,1,0,0,28-05 18:47:15,1590691635.956
0,0,1122,564,0,0,0,0,631,0,0.120,0.190,0,0,0,0,0,28-05 18:47:16,1590691636.956
0,0,1028,531,0,0,0,0,568,0,0.120,0.190,0,0,0,0,0,28-05 18:47:17,1590691637.956
0,0,1068,552,0,0,0,0,634,0,0.120,0.190,0,0,0,0,0,28-05 18:47:18,1590691638.956
0,0,831,543,0,0,0,0,590,0,0.120,0.190,0,0,0,0,0,28-05 18:47:19,1590691639.956
0,0,1060,649,0,0,0,0,745,0,0.120,0.190,0,0,0,0,0,28-05 18:47:20,1590691640.956
0,0,1139,743,0,0,0,0,824,0,0.120,0.190,0,0,0,0,0,28-05 18:47:21,1590691641.956
0,0,1105,671,0,0,0,0,770,0,0.120,0.190,0,0,0,0,0,28-05 18:47:22,1590691642.956
0,0,832,587,0,0,0,0,594,0,0.110,0.190,0,0,0,0,0,28-05 18:47:23,1590691643.956
0,0,699,419,0,0,0,0,507,0,0.110,0.190,2,0,0,0,0,28-05 18:47:24,1590691644.956
0,0,547,319,0,0,0,0,279,0,0.110,0.190,0,0,0,0,0,28-05 18:47:25,1590691645.956
0,0,889,449,0,0,0,0,458,0,0.110,0.190,0,0,0,0,0,28-05 18:47:26,1590691646.956
0,0,591,293,0,0,0,0,317,0,0.110,0.190,0,0,0,0,0,28-05 18:47:27,1590691647.956
0,0,398,215,0,0,0,0,219,0,0.110,0.190,0,0,0,0,0,28-05 18:47:28,1590691648.956
0,86,667,406,0,0,0,42,325,0,0.110,0.190,0,0,0,0,0,28-05 18:47:29,1590691649.956
0,0,867,474,0,0,0,0,521,0,0.110,0.190,0,0,0,0,0,28-05 18:47:30,1590691650.956
0,0,872,412,0,0,0,0,518,0,0.110,0.190,0,0,0,0,0,28-05 18:47:31,1590691651.956
0,0,882,473,0,0,0,0,551,0,0.110,0.190,0,0,0,0,0,28-05 18:47:32,1590691652.956
0,0,764,370,0,0,0,0,465,0,0.110,0.190,0,0,0,0,0,28-05 18:47:33,1590691653.956
0,0,922,547,0,0,0,0,653,0,0.110,0.190,0,0,0,0,0,28-05 18:47:34,1590691654.956
0,0,766,480,0,0,0,0,477,0,0.110,0.190,0,0,0,0,0,28-05 18:47:35,1590691655.956
0,4,919,513,0,0,0,2,600,0,0.110,0.190,0,0,0,0,0,28-05 18:47:36,1590691656.956
0,0,947,528,0,0,0,0,608,0,0.110,0.190,0,0,0,0,0,28-05 18:47:37,1590691657.956
0,0,637,374,0,0,0,0,453,0,0.110,0.180,0,0,0,0,0,28-05 18:47:38,1590691658.956
0,8,802,417,0,0,0,4,534,0,0.110,0.180,0,0,0,0,0,28-05 18:47:39,1590691659.956
0,0,997,578,0,0,0,0,655,0,0.110,0.180,0,0,0,0,0,28-05 18:47:40,1590691660.956
0,0,926,496,0,0,0,0,588,0,0.110,0.180,0,0,0,0,0,28-05 18:47:41,1590691661.956
0,0,970,490,0,0,0,0,549,0,0.110,0.180,0,0,0,0,0,28-05 18:47:42,1590691662.956
0,0,254,126,0,0,0,0,148,0,0.110,0.180,0,0,0,0,0,28-05 18:47:43,1590691663.956
0,0,716,360,0,0,0,0,407,0,0.110,0.180,0,0,0,0,0,28-05 18:47:44,1590691664.956
0,1972,1896,1358,0,0,0,980,480,0,0.110,0.180,0,1,0,0,0,28-05 18:47:45,1590691665.956
0,996,1570,812,0,0,0,494,577,0,0.110,0.180,0,1,0,0,0,28-05 18:47:46,1590691666.956
0,58,626,321,0,0,0,29,319,0,0.110,0.180,0,0,0,0,0,28-05 18:47:47,1590691667.956
0,0,695,409,0,0,0,0,346,0,0.100,0.180,0,0,0,0,0,28-05 18:47:48,1590691668.956
0,0,702,404,0,0,0,0,360,0,0.100,0.180,0,0,0,0,0,28-05 18:47:49,1590691669.956
0,0,711,347,0,0,0,0,434,0,0.100,0.180,0,0,0,0,0,28-05 18:47:50,1590691670.956
0,0,710,405,0,0,0,0,379,0,0.100,0.180,1,0,0,0,0,28-05 18:47:51,1590691671.956
