"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output /home/matheus/sars-cov-2-workflow/workflow/dstat/canu/SEE_4C-8R_SRR11178051_06-04-2020-03-03-45.csv",,,,"Date:","04 Jun 2020 03:08:15 -03"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","12","18","56","1m","5m","15m","run","blk","new","used","free","time","epoch"
0.100,0.198,83.653,86.925,17.848,64.919,0.000,5.788,0.496,1.040,1.400,1.660,1,0,0.136,23760896,8561975296,04-06 03:08:15,1591250895.168
0,4,2383,2527,0,0,0,7,0,1.030,1.390,1.660,1,0,94,23760896,8561975296,04-06 03:08:16,1591250896.169
0,2,329,92,0,0,0,5,1,1.030,1.390,1.660,1,0,0,23760896,8561975296,04-06 03:08:17,1591250897.169
0,0,332,86,0,0,0,12,0,1.030,1.390,1.660,1,0,0,23760896,8561975296,04-06 03:08:18,1591250898.169
0,0,336,85,0,0,0,9,1,1.030,1.390,1.660,1,0,0,23760896,8561975296,04-06 03:08:19,1591250899.169
0,0,342,82,0,0,0,10,0,1.030,1.390,1.660,1,0,0,23760896,8561975296,04-06 03:08:20,1591250900.169
0,0,325,69,0,0,0,8,1,1.030,1.390,1.650,1,0,0,23760896,8561975296,04-06 03:08:21,1591250901.169
0,4,346,95,0,0,0,6,0,1.030,1.390,1.650,1,0,0,23760896,8561975296,04-06 03:08:22,1591250902.169
0,0,350,98,0,0,0,3,1,1.030,1.390,1.650,1,0,0,23760896,8561975296,04-06 03:08:23,1591250903.169
0,0,1058,955,0,0,0,3,0,1.030,1.390,1.650,1,0,52,23760896,8561975296,04-06 03:08:24,1591250904.169
0,2,2036,2720,0,0,0,6,1,1.030,1.390,1.650,2,0,58,23760896,8561975296,04-06 03:08:25,1591250905.169
0,2,608,350,0,0,0,10,0,0.950,1.360,1.640,1,0,1,23760896,8561975296,04-06 03:08:26,1591250906.169
0,3,1653,1454,0,0,0,6,1,0.950,1.360,1.640,1,0,54,23760896,8561975296,04-06 03:08:27,1591250907.169
0,1,1544,1516,0,0,0,5,0,0.950,1.360,1.640,1,0,72,23760896,8561975296,04-06 03:08:28,1591250908.169
0,0,2762,3569,0,0,0,4,1,0.950,1.360,1.640,6,0,23,23760896,8561975296,04-06 03:08:29,1591250909.169
0,2,1278,825,0,0,0,10,0,0.950,1.360,1.640,4,0,0,23760896,8561975296,04-06 03:08:30,1591250910.169
0,0,1143,431,0,0,0,9,1,1.190,1.410,1.660,4,0,3,23760896,8561975296,04-06 03:08:31,1591250911.169
0,17,1112,280,0,0,0,17,0,1.190,1.410,1.660,4,0,0,23760896,8561975296,04-06 03:08:32,1591250912.169
0,2,1125,326,0,0,0,16,1,1.190,1.410,1.660,4,0,0,23760896,8561975296,04-06 03:08:33,1591250913.169
0,0,1061,199,0,0,0,3,0,1.190,1.410,1.660,4,0,0,23760896,8561975296,04-06 03:08:34,1591250914.169
0,0,1084,246,0,0,0,5,1,1.190,1.410,1.660,4,0,0,23760896,8561975296,04-06 03:08:35,1591250915.169
0,0,1073,222,0,0,0,6,0,1.420,1.450,1.670,4,0,0,23760896,8561975296,04-06 03:08:36,1591250916.169
0,0,1060,189,0,0,0,4,1,1.420,1.450,1.670,4,0,0,23760896,8561975296,04-06 03:08:37,1591250917.169
0,0,1085,235,0,0,0,17,0,1.420,1.450,1.670,4,0,0,23760896,8561975296,04-06 03:08:38,1591250918.169
0,2,1096,310,0,0,0,14,1,1.420,1.450,1.670,4,0,0,23760896,8561975296,04-06 03:08:39,1591250919.169
0,0,1059,194,0,0,0,6,0,1.420,1.450,1.670,4,0,0,23760896,8561975296,04-06 03:08:40,1591250920.169
0,1,1182,538,0,0,0,5,1,1.620,1.490,1.680,1,0,16,23760896,8561975296,04-06 03:08:41,1591250921.169
0,1,2824,3416,0,0,0,16,0,1.620,1.490,1.680,5,0,48,23760896,8561975296,04-06 03:08:42,1591250922.169
0,15,1423,1190,0,0,0,18,1,1.620,1.490,1.680,6,0,0,23760896,8561975296,04-06 03:08:43,1591250923.169
0,0,1223,607,0,0,0,8,0,1.620,1.490,1.680,4,0,3,23760896,8561975296,04-06 03:08:44,1591250924.169
0,2,1106,314,0,0,0,4,1,1.620,1.490,1.680,4,0,0,23760896,8561975296,04-06 03:08:45,1591250925.169
0,0,1076,278,0,0,0,2,0,1.810,1.530,1.690,4,0,0,23760896,8561975296,04-06 03:08:46,1591250926.169
0,2,1089,263,0,0,0,5,1,1.810,1.530,1.690,4,0,0,23760896,8561975296,04-06 03:08:47,1591250927.169
1,32,1164,286,0,0,0,48,0,1.810,1.530,1.690,4,1,0,23760896,8561975296,04-06 03:08:48,1591250928.169
0,101,1259,215,0,0,0,110,1,1.810,1.530,1.690,4,1,0,23760896,8561975296,04-06 03:08:49,1591250929.169
1,15,1108,226,0,0,0,24,0,1.810,1.530,1.690,4,0,0,23760896,8561975296,04-06 03:08:50,1591250930.169
0,2,1083,218,0,0,0,13,1,1.990,1.580,1.710,4,0,0,23760896,8561975296,04-06 03:08:51,1591250931.169
0,0,1053,172,0,0,0,3,0,1.990,1.580,1.710,4,0,0,23760896,8561975296,04-06 03:08:52,1591250932.169
0,0,1062,205,0,0,0,2,1,1.990,1.580,1.710,4,0,0,23760896,8561975296,04-06 03:08:53,1591250933.169
0,0,1050,177,0,0,0,2,0,1.990,1.580,1.710,4,0,0,23760896,8561975296,04-06 03:08:54,1591250934.169
0,7,2570,2585,0,0,0,11,1,1.990,1.580,1.710,2,0,59,23760896,8561975296,04-06 03:08:55,1591250935.169
0,0,1849,2266,0,0,0,9,0,2.230,1.630,1.730,6,0,5,23760896,8561975296,04-06 03:08:56,1591250936.169
0,2,1237,703,0,0,0,5,1,2.230,1.630,1.730,4,0,0,23760896,8561975296,04-06 03:08:57,1591250937.169
0,0,1121,375,0,0,0,3,0,2.230,1.630,1.730,4,0,3,23760896,8561975296,04-06 03:08:58,1591250938.169
0,0,1089,295,0,0,0,4,1,2.230,1.630,1.730,4,0,0,23760896,8561975296,04-06 03:08:59,1591250939.169
0,1,1099,292,0,0,0,10,0,2.230,1.630,1.730,4,0,0,23760896,8561975296,04-06 03:09:00,1591250940.169
0,2,1082,241,0,0,0,12,1,2.370,1.670,1.740,4,0,0,23760896,8561975296,04-06 03:09:01,1591250941.169
0,0,1062,193,0,0,0,7,0,2.370,1.670,1.740,4,0,0,23760896,8561975296,04-06 03:09:02,1591250942.169
