"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat --noheaders --output dstat/dstat_output_05-24-2020-17-52-48.csv",,,,"Date:","24 May 2020 17:52:48 -03"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.198,0.074,99.705,0.023,0,2820.706,23654.808,0,0,2.718,7.362,124.598,180.911
0,0,100,0,0,0,0,376,793,0,0,167,227
0.754,0.251,98.995,0,0,0,0,10701,2571,0,0,232,253
0,0.250,99.750,0,0,0,0,45874,1453,0,0,190,250
0.250,0,99.750,0,0,0,0,149045,2637,0,0,192,243
0.251,0.251,99.499,0,0,0,0,190961,3647,0,0,241,261
0.500,0,99,0.500,0,0,94208,125175,2585,0,0,233,263
0,0,100,0,0,0,16384,125289,2585,0,0,249,286
1.253,0.251,98.496,0,0,0,0,1061926,8352,0,0,334,318
2,0.750,97.250,0,0,0,0,1938078,10112,0,0,381,322
1.504,0.752,97.243,0.501,0,0,8818688,1660268,5402,0,0,420,344
1.759,0.503,97.487,0.251,0,0,5099520,1936511,5535,0,0,418,321
2.494,0.249,97.257,0,0,0,0,1891614,4544,0,0,366,298
2.743,0.249,97.007,0,0,0,16384,1705709,5049,0,0,456,493
2.256,0.501,97.243,0,0,0,0,1936371,5841,0,0,462,496
1.750,0.500,97.750,0,0,0,0,1660330,4348,0,0,435,502
2.015,0.252,97.733,0,0,0,36864,1936153,5907,0,0,480,518
1.504,0.501,97.995,0,0,0,0,1660675,5204,0,0,427,460
2.250,0.500,97.250,0,0,0,0,1936907,6171,0,0,476,516
2.005,0.501,97.494,0,0,0,0,1659922,4646,0,0,430,512
2.244,0.748,97.007,0,0,0,12288,1936253,5577,0,0,488,525
2.005,0.501,97.243,0.251,0,0,28672,1936319,5074,0,0,468,527
2.494,0,97.506,0,0,0,0,1660268,4257,0,0,396,493
1.759,0.503,97.739,0,0,0,0,1936385,5313,0,0,450,526
2.005,0,97.995,0,0,0,0,1659494,4742,0,0,403,439
2.250,1,96.750,0,0,0,0,1936913,5313,0,0,492,589
2.506,0,97.494,0,0,0,28672,1660138,5866,0,0,419,511
2.005,0.501,97.494,0,0,0,0,1936326,9286,0,0,434,494
2,0.500,97.500,0,0,0,0,1659934,8244,0,0,434,501
2.250,0.500,97.250,0,0,0,0,1936481,6373,0,0,454,460
2.256,0,97.744,0,0,0,0,1936785,5208,0,0,355,566
2.256,0.501,97.243,0,0,0,28672,1660608,5053,0,0,311,691
2.010,0.251,97.739,0,0,0,0,1936269,5317,0,0,354,662
1.995,0.748,97.257,0,0,0,0,1659750,4374,0,0,327,631
2.250,0.500,97.250,0,0,0,0,1936607,4983,0,0,370,619
2.010,0.251,97.739,0,0,0,0,1660386,4284,0,0,424,493
2.500,0.250,97,0.250,0,0,28672,1936401,5845,0,0,394,635
1.754,0.501,97.744,0,0,0,0,1660074,4548,0,0,322,612
2.500,0.500,97,0,0,0,16384,1936587,5185,0,0,380,707
2.256,0,97.744,0,0,0,0,1659756,5034,0,0,328,560
2.494,0.499,97.007,0,0,0,0,1936995,5185,0,0,401,694
2.015,1.008,90.176,6.801,0,0,128573440,1660278,4386,0,0,636,915
2.494,0.998,92.768,3.741,0,0,51580928,1936527,4921,0,0,478,712
2.256,0.251,97.494,0,0,0,0,1936989,4548,0,0,321,629
2.256,0.251,97.494,0,0,0,16384,1659486,4867,0,0,343,653
2.500,0.500,97,0,0,0,0,1937829,5185,0,0,448,559
1.256,0.503,97.990,0.251,0,0,65536,1660800,4548,0,0,401,555
2.256,0.501,97.243,0,0,0,16384,1936647,5197,0,0,376,668
2.256,0,97.744,0,0,0,0,1660008,4086,0,0,321,645
2.010,0.503,97.487,0,0,0,0,1938359,6223,0,0,329,661
2,0.250,97.750,0,0,0,0,1660338,4284,0,0,318,593
2.757,0,97.243,0,0,0,28672,1936839,4987,0,0,397,725
2.250,0.250,97.500,0,0,0,0,1659678,4506,0,0,350,599
2.256,0.501,97.243,0,0,0,0,1937091,5251,0,0,347,663
1.759,0.503,97.739,0,0,0,0,1937097,6937,0,0,371,704
2.500,0.500,97,0,0,0,0,1660398,7386,0,0,400,674
1.759,0.503,97.739,0,0,0,28672,1936534,5650,0,0,359,673
1.759,0.251,97.990,0,0,0,0,1660286,5150,0,0,334,591
1.746,0.249,97.756,0.249,0,0,0,1383521,3983,0,0,306,551
1.754,0.251,97.995,0,0,0,0,1660190,4822,0,0,377,614
2.005,0.501,97.494,0,0,0,0,1936915,5678,0,0,335,648
2.250,0.250,97.500,0,0,0,12288,1659758,8627,0,0,344,633
2.256,0.251,97.494,0,0,0,16384,1936525,9683,0,0,404,685
1.750,0.750,97.500,0,0,0,0,1659952,8554,0,0,345,633
2.256,0.501,97.243,0,0,0,0,1937888,10541,0,0,384,669
2,0.500,97.500,0,0,0,0,1937251,7262,0,0,367,567
2.010,0,97.990,0,0,0,12288,1660154,5327,0,0,339,638
2.256,0.501,97.243,0,0,0,16384,1936933,5591,0,0,363,684
1.754,0.251,97.995,0,0,0,0,1660036,4424,0,0,314,584
2.244,0.748,97.007,0,0,0,16384,1937065,5261,0,0,380,673
2.494,0.499,97.007,0,0,0,0,1660576,4954,0,0,372,655
2.261,0,97.739,0,0,0,12288,1937113,6317,0,0,435,694
1.759,1.005,90.955,6.281,0,0,127234048,1936861,5678,0,0,727,706
2.250,0.500,93.750,3.500,0,0,52867072,1660394,6329,0,0,519,637
2.500,0.500,97,0,0,0,0,1937455,6581,0,0,432,694
2.500,0,97.500,0,0,0,16384,1660204,5150,0,0,393,633
2.250,0.250,97.250,0.250,0,0,24576,1937305,6119,0,0,419,693
1.750,0.750,97.500,0,0,0,32768,1660226,5386,0,0,381,635
1.759,0.503,97.739,0,0,0,20480,1936771,6185,0,0,417,692
1.750,0.500,97.750,0,0,0,0,1936729,6377,0,0,401,578
2.005,0.251,97.744,0,0,0,0,1660234,5480,0,0,355,598
2.250,0.750,97,0,0,0,12288,1936603,6845,0,0,412,678
1.504,0.501,97.995,0,0,0,16384,1659566,5494,0,0,373,594
2.750,0,97.250,0,0,0,12288,1936801,6383,0,0,443,681
0.750,0.500,98.750,0,0,0,0,833238,3304,0,0,265,397
0.500,0.250,99.250,0,0,0,0,273840,3783,0,0,258,380
2,0.500,97.500,0,0,0,12288,1658840,9992,0,0,492,580
2.015,0.252,97.733,0,0,0,16384,1935271,13445,0,0,662,680
2.488,0.498,97.015,0,0,0,0,1660224,12008,0,0,565,660
2.506,0,97.494,0,0,0,0,1659170,10828,0,0,539,634
2.250,0.750,97,0,0,0,0,1935469,13457,0,0,610,640
2.244,0.249,97.257,0.249,0,0,12288,1659416,10298,0,0,542,620
2.506,0.251,97.243,0,0,0,16384,1935145,12323,0,0,631,691
40.299,3.731,55.970,0,0,0,0,536855,3376,0,0,2513,3048
34.848,2.020,63.131,0,0,0,0,180,0,0,0,1187,1020
26.683,1.746,71.571,0,0,0,0,120,0,0,0,605,629
29.073,1.003,69.925,0,0,0,0,180,0,0,0,592,580
25.564,1.253,73.183,0,0,0,53248,180,0,0,0,549,566
25.500,1,73.500,0,0,0,0,423,0,0,0,491,402
23.810,0.752,75.439,0,0,0,49152,120,0,0,0,486,383
24.060,0.752,75.188,0,0,0,0,60,0,0,0,504,402
23.750,1,75.250,0,0,0,0,120,0,0,0,466,365
24.311,0.251,75.439,0,0,0,16384,120,0,0,0,443,350
23.750,1.250,70.250,4.750,0,0,78331904,120,0,0,0,661,483
31.407,1.005,67.588,0,0,0,40960,60,0,0,0,1147,1622
60.453,1.259,38.287,0,0,0,0,120,0,0,0,1716,2225
66.751,0.504,32.746,0,0,0,0,240,0,0,0,1308,1457
22.807,2.005,74.937,0.251,0,0,32768,120,0,0,0,492,385
24.500,0.750,74.750,0,0,0,49152,180,0,0,0,441,268
24.812,0.251,74.937,0,0,0,0,240,0,0,0,420,216
24.750,0.500,74.750,0,0,0,69632,300,0,0,0,433,220
24.688,0.499,74.813,0,0,0,0,180,0,0,0,415,221
24.561,0.501,74.937,0,0,0,0,60,0,0,0,385,186
24.500,0.750,74.750,0,0,0,20480,120,0,0,0,423,228
24.561,0.501,74.937,0,0,0,28672,180,0,0,0,412,201
24.876,0.498,74.378,0.249,0,0,65536,240,0,0,0,466,273
24.812,0.251,74.937,0,0,0,0,180,0,0,0,398,203
24.812,0.251,74.937,0,0,0,0,240,0,0,0,407,223
24.938,0.249,74.813,0,0,0,20480,483,0,0,0,415,222
24.812,0.251,74.937,0,0,0,24576,360,0,0,0,433,229
24.500,0.750,74.750,0,0,0,32768,120,0,0,0,407,220
24.750,0.250,75,0,0,0,0,120,0,0,0,394,213
24.812,0.251,74.937,0,0,0,0,300,0,0,0,396,196
24.750,0.500,74.750,0,0,0,20480,240,0,0,0,415,239
24.561,0.251,75.188,0,0,0,8192,240,0,0,0,405,204
24.439,0.998,74.564,0,0,0,28672,480,0,0,0,449,249
24.372,0.503,75.126,0,0,0,0,240,0,0,0,403,201
24.378,0.995,74.627,0,0,0,0,360,0,0,0,434,245
24.561,0.501,74.937,0,0,0,28672,240,0,0,0,406,213
24.750,0.250,75,0,0,0,0,360,0,0,0,421,218
