"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output /home/matheus/sars-cov-2-workflow/workflow/dstat/fastq_dump/SEE_4C-8R_SRR11178050_06-04-2020-02-11-10.csv",,,,"Date:","04 Jun 2020 02:11:10 -03"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","12","18","56","1m","5m","15m","run","blk","new","used","free","time","epoch"
0.083,0.176,81.342,85.775,17.589,48.786,0.000,5.708,0.496,0,0,0,0,0,0.114,11399168,8574337024,04-06 02:11:10,1591247470.141
0,0,93,109,0,0,0,6,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:11,1591247471.142
0,0,109,115,0,0,0,18,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:12,1591247472.142
0,0,149,141,0,0,0,19,1,0,0,0,0,0,1,11399168,8574337024,04-06 02:11:13,1591247473.142
0,0,114,108,0,0,0,22,0,0,0,0,0,0,1,11399168,8574337024,04-06 02:11:14,1591247474.142
0,0,154,140,0,0,0,46,1,0,0,0,0,0,1,11399168,8574337024,04-06 02:11:15,1591247475.142
0,13,273,202,0,0,0,98,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:16,1591247476.142
0,11,92,84,0,0,0,13,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:17,1591247477.142
0,0,36,54,0,0,0,0,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:18,1591247478.142
0,0,75,94,0,0,0,4,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:19,1591247479.142
0,0,56,64,0,0,0,2,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:20,1591247480.142
0,0,74,83,0,0,0,10,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:21,1591247481.142
0,4,67,86,0,0,0,5,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:22,1591247482.142
0,0,74,88,0,0,0,9,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:23,1591247483.142
0,0,67,76,0,0,0,5,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:24,1591247484.142
0,0,61,79,0,0,0,3,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:25,1591247485.142
0,1,132,145,0,0,0,58,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:26,1591247486.142
0,0,71,85,0,0,0,4,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:27,1591247487.142
0,2,66,78,0,0,0,6,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:28,1591247488.142
0,0,73,79,0,0,0,15,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:29,1591247489.142
0,0,41,56,0,0,0,1,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:30,1591247490.142
0,0,59,78,0,0,0,2,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:31,1591247491.142
0,0,70,80,0,0,0,8,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:32,1591247492.142
0,0,58,72,0,0,0,3,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:33,1591247493.142
0,2,55,74,0,0,0,4,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:34,1591247494.142
0,0,69,82,0,0,0,7,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:35,1591247495.142
0,0,80,83,0,0,0,5,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:36,1591247496.142
0,0,68,83,0,0,0,3,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:37,1591247497.142
0,0,56,67,0,0,0,9,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:38,1591247498.143
0,0,66,84,0,0,0,3,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:39,1591247499.142
0,2,73,85,0,0,0,5,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:40,1591247500.142
0,0,68,76,0,0,0,4,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:41,1591247501.142
0,0,56,66,0,0,0,3,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:42,1591247502.142
0,1,71,83,0,0,0,3,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:43,1591247503.142
0,0,82,91,0,0,0,11,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:44,1591247504.142
0,0,58,72,0,0,0,2,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:45,1591247505.143
0,3,69,79,0,0,0,6,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:46,1591247506.142
0,0,65,78,0,0,0,2,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:47,1591247507.142
0,1,71,73,0,0,0,5,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:48,1591247508.142
0,0,92,94,0,0,0,8,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:49,1591247509.142
0,0,74,84,0,0,0,11,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:50,1591247510.142
0,0,125,115,0,0,0,20,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:51,1591247511.142
0,4,165,175,0,0,0,72,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:52,1591247512.142
0,3,94,91,0,0,0,12,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:53,1591247513.142
0,0,81,88,0,0,0,10,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:54,1591247514.142
0,0,109,117,0,0,0,10,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:55,1591247515.142
0,0,97,106,0,0,0,7,1,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:56,1591247516.142
0,5,262,289,0,0,0,23,0,0,0,0,0,0,8,11399168,8574337024,04-06 02:11:57,1591247517.142
0,2,170,149,0,0,0,32,1,0,0,0,0,0,1,11399168,8574337024,04-06 02:11:58,1591247518.142
0,0,140,127,0,0,0,30,0,0,0,0,0,0,0,11399168,8574337024,04-06 02:11:59,1591247519.142
0,0,178,143,0,0,0,49,1,0,0,0,0,0,1,11399168,8574337024,04-06 02:12:00,1591247520.142
0,0,133,134,0,0,0,21,0,0,0,0,0,0,1,11399168,8574337024,04-06 02:12:01,1591247521.142
0,5,224,188,0,0,0,76,1,0,0,0,0,0,1,11399168,8574337024,04-06 02:12:02,1591247522.142
0,3,284,227,0,0,0,117,0,0.080,0.020,0.010,0,0,0,11399168,8574337024,04-06 02:12:03,1591247523.142
0,1,235,203,0,0,0,75,1,0.080,0.020,0.010,0,0,2,11399168,8574337024,04-06 02:12:04,1591247524.142
0,0,225,168,0,0,0,106,0,0.080,0.020,0.010,0,0,0,11399168,8574337024,04-06 02:12:05,1591247525.142
0,0,255,208,0,0,0,111,1,0.080,0.020,0.010,0,0,0,11399168,8574337024,04-06 02:12:06,1591247526.142
0,2,304,193,0,0,0,144,0,0.080,0.020,0.010,0,0,0,11399168,8574337024,04-06 02:12:07,1591247527.142
0,2,334,220,0,0,0,168,1,0.070,0.020,0,0,0,0,11399168,8574337024,04-06 02:12:08,1591247528.142
0,0,281,198,0,0,0,141,0,0.070,0.020,0,0,0,0,11399168,8574337024,04-06 02:12:09,1591247529.142
0,0,320,254,0,0,0,151,1,0.070,0.020,0,0,0,1,11399168,8574337024,04-06 02:12:10,1591247530.142
0,0,390,392,0,0,0,151,0,0.070,0.020,0,0,0,0,11399168,8574337024,04-06 02:12:11,1591247531.142
0,2,323,390,0,0,0,80,1,0.070,0.020,0,0,0,0,11399168,8574337024,04-06 02:12:12,1591247532.142
0,2,371,419,0,0,0,133,0,0.310,0.070,0.020,0,0,0,11399168,8574337024,04-06 02:12:13,1591247533.142
0,0,370,352,0,0,0,152,1,0.310,0.070,0.020,0,0,1,11399168,8574337024,04-06 02:12:14,1591247534.142
0,0,364,399,0,0,0,132,0,0.310,0.070,0.020,0,0,0,11399168,8574337024,04-06 02:12:15,1591247535.142
0,0,328,331,0,0,0,127,1,0.310,0.070,0.020,1,0,0,11399168,8574337024,04-06 02:12:16,1591247536.142
0,2,365,392,0,0,0,121,0,0.310,0.070,0.020,0,0,0,11399168,8574337024,04-06 02:12:17,1591247537.142
0,3,363,436,0,0,0,103,1,0.280,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:18,1591247538.142
0,0,314,395,0,0,0,73,0,0.280,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:19,1591247539.142
0,0,351,393,0,0,0,121,1,0.280,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:20,1591247540.142
0,0,287,315,0,0,0,98,0,0.280,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:21,1591247541.142
0,2,314,367,0,0,0,99,1,0.280,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:22,1591247542.142
0,2,368,399,0,0,0,120,0,0.260,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:23,1591247543.142
0,0,382,407,0,0,0,126,1,0.260,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:24,1591247544.142
0,0,389,412,0,0,0,135,0,0.260,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:25,1591247545.142
0,0,338,324,0,0,0,142,1,0.260,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:26,1591247546.142
0,2,392,405,0,0,0,147,0,0.260,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:27,1591247547.142
0,2,397,415,0,0,0,143,1,0.240,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:28,1591247548.142
0,10,334,358,0,0,0,89,0,0.240,0.060,0.020,0,0,0,11399168,8574337024,04-06 02:12:29,1591247549.142
