"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output /home/matheus/sars-cov-2-workflow/workflow/dstat/fastqc/SEE_4C-8R_SRR11178052_06-04-2020-02-34-14.csv",,,,"Date:","04 Jun 2020 02:34:16 -03"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","12","18","56","1m","5m","15m","run","blk","new","used","free","time","epoch"
0.083,0.183,81.981,86.173,17.578,49.096,0.000,5.753,0.496,2.440,2.010,1.080,1,0,0.120,11661312,8574074880,04-06 02:34:16,1591248856.892
0,23,744,737,0,0,0,20,0,2.440,2.010,1.080,1,0,0,11661312,8574074880,04-06 02:34:17,1591248857.893
0,2,464,363,0,0,0,3,1,2.440,2.010,1.080,2,0,0,11661312,8574074880,04-06 02:34:18,1591248858.893
0,2,527,355,0,0,0,4,0,2.320,2,1.080,1,0,0,11661312,8574074880,04-06 02:34:19,1591248859.893
0,0,504,326,0,0,0,3,1,2.320,2,1.080,1,0,0,11661312,8574074880,04-06 02:34:20,1591248860.893
0,0,426,269,0,0,0,3,0,2.320,2,1.080,1,0,0,11661312,8574074880,04-06 02:34:21,1591248861.893
0,20,409,255,0,0,0,21,1,2.320,2,1.080,1,1,0,11661312,8574074880,04-06 02:34:22,1591248862.893
1,6,395,235,0,0,0,8,0,2.320,2,1.080,1,0,0,11661312,8574074880,04-06 02:34:23,1591248863.893
0,1,416,282,0,0,0,12,1,2.220,1.980,1.080,3,0,0,11661312,8574074880,04-06 02:34:24,1591248864.894
0,1,376,272,0,0,0,5,0,2.220,1.980,1.080,1,0,0,11661312,8574074880,04-06 02:34:25,1591248865.893
0,0,348,279,0,0,0,7,1,2.220,1.980,1.080,1,0,0,11661312,8574074880,04-06 02:34:26,1591248866.893
0,0,385,305,0,0,0,3,0,2.220,1.980,1.080,1,0,0,11661312,8574074880,04-06 02:34:27,1591248867.893
0,2,382,339,0,0,0,5,1,2.220,1.980,1.080,1,0,0,11661312,8574074880,04-06 02:34:28,1591248868.893
0,2,387,364,0,0,0,6,0,2.120,1.960,1.080,1,0,0,11661312,8574074880,04-06 02:34:29,1591248869.893
4,0,1534,2216,0,0,0,6,1,2.120,1.960,1.080,0,1,3,11661312,8574074880,04-06 02:34:30,1591248870.893
66,0,1468,1559,0,0,0,55,0,2.120,1.960,1.080,3,0,1,11661312,8574074880,04-06 02:34:31,1591248871.893
0,0,1286,1207,0,0,0,12,1,2.120,1.960,1.080,1,0,1,11661312,8574074880,04-06 02:34:32,1591248872.893
