"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output /home/matheus/sars-cov-2-workflow/workflow/dstat/nanofilt/SEE_4C-8R_SRR11178051_06-04-2020-03-38-45.csv",,,,"Date:","04 Jun 2020 03:39:20 -03"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","12","18","56","1m","5m","15m","run","blk","new","used","free","time","epoch"
0.110,0.213,85.472,87.771,18.017,82.972,0.000,5.818,0.496,1.680,2.100,2.120,1,0,0.155,36655104,8549081088,04-06 03:39:20,1591252760.666
0,0,388,180,0,0,0,5,1,1.680,2.100,2.120,1,0,0,36655104,8549081088,04-06 03:39:21,1591252761.667
0,0,348,101,0,0,0,4,0,1.630,2.080,2.110,1,0,0,36655104,8549081088,04-06 03:39:22,1591252762.667
0,2,363,100,0,0,0,16,1,1.630,2.080,2.110,1,0,0,36655104,8549081088,04-06 03:39:23,1591252763.667
0,3,361,93,0,0,0,17,0,1.630,2.080,2.110,1,0,0,36655104,8549081088,04-06 03:39:24,1591252764.667
0,0,325,72,0,0,0,2,1,1.630,2.080,2.110,1,0,0,36655104,8549081088,04-06 03:39:25,1591252765.667
0,0,334,82,0,0,0,9,0,1.630,2.080,2.110,1,0,0,36655104,8549081088,04-06 03:39:26,1591252766.667
0,0,335,78,0,0,0,4,1,1.580,2.060,2.100,1,0,0,36655104,8549081088,04-06 03:39:27,1591252767.667
0,0,320,72,0,0,0,2,0,1.580,2.060,2.100,1,0,0,36655104,8549081088,04-06 03:39:28,1591252768.667
0,3,338,89,0,0,0,6,1,1.580,2.060,2.100,1,0,0,36655104,8549081088,04-06 03:39:29,1591252769.667
0,0,335,88,0,0,0,2,0,1.580,2.060,2.100,1,0,0,36655104,8549081088,04-06 03:39:30,1591252770.667
0,0,339,74,0,0,0,9,1,1.580,2.060,2.100,1,0,0,36655104,8549081088,04-06 03:39:31,1591252771.667
0,0,332,67,0,0,0,4,0,1.530,2.040,2.100,1,0,0,36655104,8549081088,04-06 03:39:32,1591252772.667
0,5,341,84,0,0,0,5,1,1.530,2.040,2.100,1,0,0,36655104,8549081088,04-06 03:39:33,1591252773.667
0,2,338,97,0,0,0,5,0,1.530,2.040,2.100,1,0,0,36655104,8549081088,04-06 03:39:34,1591252774.667
0,0,353,94,0,0,0,15,1,1.530,2.040,2.100,1,0,0,36655104,8549081088,04-06 03:39:35,1591252775.667
0,0,336,80,0,0,0,4,0,1.530,2.040,2.100,1,0,0,36655104,8549081088,04-06 03:39:36,1591252776.667
0,0,329,73,0,0,0,3,1,1.490,2.030,2.090,1,0,0,36655104,8549081088,04-06 03:39:37,1591252777.667
0,0,350,99,0,0,0,10,0,1.490,2.030,2.090,1,0,0,36655104,8549081088,04-06 03:39:38,1591252778.667
0,2,344,96,0,0,0,6,1,1.490,2.030,2.090,1,0,0,36655104,8549081088,04-06 03:39:39,1591252779.667
0,0,328,77,0,0,0,4,0,1.490,2.030,2.090,1,0,0,36655104,8549081088,04-06 03:39:40,1591252780.667
0,0,332,77,0,0,0,7,1,1.490,2.030,2.090,1,0,0,36655104,8549081088,04-06 03:39:41,1591252781.667
0,0,340,82,0,0,0,5,0,1.450,2.010,2.090,1,0,0,36655104,8549081088,04-06 03:39:42,1591252782.667
0,0,351,90,0,0,0,16,1,1.450,2.010,2.090,1,0,0,36655104,8549081088,04-06 03:39:43,1591252783.667
0,2,340,90,0,0,0,10,0,1.450,2.010,2.090,1,0,0,36655104,8549081088,04-06 03:39:44,1591252784.667
0,0,322,72,0,0,0,2,1,1.450,2.010,2.090,1,0,0,36655104,8549081088,04-06 03:39:45,1591252785.667
0,0,348,100,0,0,0,4,0,1.450,2.010,2.090,1,0,0,36655104,8549081088,04-06 03:39:46,1591252786.667
0,0,352,85,0,0,0,11,1,1.410,1.990,2.080,1,0,0,36655104,8549081088,04-06 03:39:47,1591252787.667
0,0,335,82,0,0,0,3,0,1.410,1.990,2.080,1,0,0,36655104,8549081088,04-06 03:39:48,1591252788.667
0,14,350,83,0,0,0,20,1,1.410,1.990,2.080,1,0,0,36655104,8549081088,04-06 03:39:49,1591252789.667
0,0,327,84,0,0,0,2,0,1.410,1.990,2.080,1,0,0,36655104,8549081088,04-06 03:39:50,1591252790.667
0,0,331,80,0,0,0,3,1,1.410,1.990,2.080,1,0,0,36655104,8549081088,04-06 03:39:51,1591252791.667
0,0,316,64,0,0,0,2,0,1.380,1.980,2.070,1,0,0,36655104,8549081088,04-06 03:39:52,1591252792.667
0,0,327,71,0,0,0,10,1,1.380,1.980,2.070,1,0,0,36655104,8549081088,04-06 03:39:53,1591252793.667
1,30,393,159,0,0,0,41,0,1.380,1.980,2.070,1,1,0,36655104,8549081088,04-06 03:39:54,1591252794.667
0,89,544,151,0,0,0,103,1,1.380,1.980,2.070,1,0,0,36655104,8549081088,04-06 03:39:55,1591252795.667
0,0,334,78,0,0,0,8,0,1.380,1.980,2.070,1,0,0,36655104,8549081088,04-06 03:39:56,1591252796.667
0,0,318,65,0,0,0,2,1,1.350,1.960,2.070,1,0,0,36655104,8549081088,04-06 03:39:57,1591252797.667
0,0,327,80,0,0,0,2,0,1.350,1.960,2.070,1,0,0,36655104,8549081088,04-06 03:39:58,1591252798.667
0,2,346,93,0,0,0,8,1,1.350,1.960,2.070,1,0,0,36655104,8549081088,04-06 03:39:59,1591252799.667
0,0,329,76,0,0,0,4,0,1.350,1.960,2.070,1,0,0,36655104,8549081088,04-06 03:40:00,1591252800.667
0,0,346,86,0,0,0,9,1,1.350,1.960,2.070,1,0,0,36655104,8549081088,04-06 03:40:01,1591252801.667
0,0,345,92,0,0,0,6,0,1.320,1.940,2.060,1,0,0,36655104,8549081088,04-06 03:40:02,1591252802.667
0,0,333,71,0,0,0,7,1,1.320,1.940,2.060,1,0,0,36655104,8549081088,04-06 03:40:03,1591252803.667
0,2,341,91,0,0,0,5,0,1.320,1.940,2.060,1,0,0,36655104,8549081088,04-06 03:40:04,1591252804.667
0,0,332,79,0,0,0,8,1,1.320,1.940,2.060,1,0,0,36655104,8549081088,04-06 03:40:05,1591252805.667
0,0,337,84,0,0,0,8,0,1.320,1.940,2.060,1,0,0,36655104,8549081088,04-06 03:40:06,1591252806.667
0,0,346,85,0,0,0,5,1,1.290,1.930,2.060,1,0,0,36655104,8549081088,04-06 03:40:07,1591252807.667
0,0,359,95,0,0,0,11,0,1.290,1.930,2.060,1,0,0,36655104,8549081088,04-06 03:40:08,1591252808.667
0,2,351,97,0,0,0,7,1,1.290,1.930,2.060,1,0,0,36655104,8549081088,04-06 03:40:09,1591252809.667
0,0,363,108,0,0,0,8,0,1.290,1.930,2.060,1,0,0,36655104,8549081088,04-06 03:40:10,1591252810.667
0,0,358,101,0,0,0,12,1,1.290,1.930,2.060,1,0,0,36655104,8549081088,04-06 03:40:11,1591252811.667
0,0,368,96,0,0,0,9,0,1.270,1.910,2.050,1,0,0,36655104,8549081088,04-06 03:40:12,1591252812.667
0,0,359,94,0,0,0,16,1,1.270,1.910,2.050,1,0,0,36655104,8549081088,04-06 03:40:13,1591252813.667
0,2,358,101,0,0,0,12,0,1.270,1.910,2.050,1,0,0,36655104,8549081088,04-06 03:40:14,1591252814.667
0,0,339,80,0,0,0,5,1,1.270,1.910,2.050,1,0,0,36655104,8549081088,04-06 03:40:15,1591252815.667
0,0,331,79,0,0,0,3,0,1.270,1.910,2.050,1,0,0,36655104,8549081088,04-06 03:40:16,1591252816.667
0,0,338,76,0,0,0,10,1,1.250,1.900,2.040,1,0,0,36655104,8549081088,04-06 03:40:17,1591252817.667
