"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat -C -D -N -m -r -y -g -i -l -p -s -t -T --noheaders --output /home/matheus/sars-cov-2-workflow/workflow/dstat/vgas/SEE_4C-8R_SRR11178050_06-04-2020-11-14-45.csv",,,,"Date:","04 Jun 2020 11:17:40 -03"
"io/total",,"system",,"paging",,"interrupts",,,"load avg",,,"procs",,,"swap",,"system","epoch"
"read","writ","int","csw","in","out","12","18","56","1m","5m","15m","run","blk","new","used","free","time","epoch"
0.111,0.212,85.945,87.874,27.079,81.843,0.000,5.836,0.496,1.720,0.730,0.280,0,1,0.159,24342528,8561393664,04-06 11:17:40,1591280260.270
62,0,202,210,0,0,0,66,1,1.720,0.730,0.280,0,1,0,24342528,8561393664,04-06 11:17:41,1591280261.271
48,0,162,165,0,0,0,50,0,1.720,0.730,0.280,0,1,0,24342528,8561393664,04-06 11:17:42,1591280262.271
25,0,116,128,0,0,0,28,1,1.720,0.730,0.280,0,1,0,24342528,8561393664,04-06 11:17:43,1591280263.271
105,2,284,292,0,0,0,110,0,1.660,0.740,0.280,0,1,0,24342528,8561393664,04-06 11:17:44,1591280264.271
83,2,253,244,0,0,0,88,1,1.660,0.740,0.280,0,1,0,24342528,8561393664,04-06 11:17:45,1591280265.271
28,0,212,87,0,0,0,30,0,1.660,0.740,0.280,0,1,0,24342528,8561393664,04-06 11:17:46,1591280266.271
38,0,261,83,0,0,0,40,0,1.660,0.740,0.280,1,0,0,24342528,8561393664,04-06 11:17:47,1591280267.271
75,0,472,70,0,0,0,78,1,1.660,0.740,0.280,1,0,0,24342528,8561393664,04-06 11:17:48,1591280268.271
74,0,461,61,0,0,0,76,0,1.610,0.740,0.290,1,0,0,24342528,8561393664,04-06 11:17:49,1591280269.271
69,0,460,72,0,0,0,72,1,1.610,0.740,0.290,1,0,0,24342528,8561393664,04-06 11:17:50,1591280270.271
72,27,529,95,0,0,0,97,0,1.610,0.740,0.290,1,0,0,24342528,8561393664,04-06 11:17:51,1591280271.271
67,0,459,73,0,0,0,70,1,1.610,0.740,0.290,1,0,0,24342528,8561393664,04-06 11:17:52,1591280272.271
71,0,454,67,0,0,0,72,0,1.610,0.740,0.290,1,0,0,24342528,8561393664,04-06 11:17:53,1591280273.271
39,0,276,81,0,0,0,42,1,1.560,0.750,0.290,1,0,0,24342528,8561393664,04-06 11:17:54,1591280274.271
43,0,408,110,0,0,0,47,0,1.560,0.750,0.290,1,0,0,24342528,8561393664,04-06 11:17:55,1591280275.271
8,2,276,104,0,0,0,13,1,1.560,0.750,0.290,0,1,0,24342528,8561393664,04-06 11:17:56,1591280276.271
38,0,101,141,0,0,0,39,0,1.560,0.750,0.290,0,1,0,24342528,8561393664,04-06 11:17:57,1591280277.271
20,0,100,127,0,0,0,26,1,1.560,0.750,0.290,0,1,0,24342528,8561393664,04-06 11:17:58,1591280278.271
18,0,92,115,0,0,0,23,0,1.520,0.750,0.300,0,1,0,24342528,8561393664,04-06 11:17:59,1591280279.271
55,0,124,189,0,0,0,59,1,1.520,0.750,0.300,0,1,0,24342528,8561393664,04-06 11:18:00,1591280280.271
18,6,113,127,0,0,0,28,0,1.520,0.750,0.300,0,1,0,24342528,8561393664,04-06 11:18:01,1591280281.271
218,0,538,645,0,0,0,169,1,1.520,0.750,0.300,0,1,2,24342528,8561393664,04-06 11:18:02,1591280282.271
89,0,417,390,0,0,0,87,0,1.520,0.750,0.300,1,0,0,24342528,8561393664,04-06 11:18:03,1591280283.271
